Type;FPL1026;
Version;1.90SP1;
Date;29.Dec 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;2000000000.000000;Hz
Span;2000000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.004000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;VIEW;
794000000;-73.39141845703125;-94.7456817626953125
796000000;-74.098358154296875;-104.28582763671875
798000000;-73.23151397705078125;-94.6260833740234375
800000000;-74.138885498046875;-100.139862060546875
802000000;-74.89166259765625;-104.12249755859375
804000000;-74.76911163330078125;-95.57373046875
806000000;-68.9819488525390625;-97.52707672119140625
808000000;-72.05789947509765625;-90.71465301513671875
810000000;-73.0836181640625;-96.6438446044921875
812000000;-75.250152587890625;-96.938323974609375
814000000;-69.64881134033203125;-116.54134368896484375
816000000;-71.89220428466796875;-119.99950408935546875
818000000;-75.4755706787109375;-85.84114837646484375
820000000;-72.6663818359375;-84.0348968505859375
822000000;-71.12570953369140625;-98.87921142578125
824000000;-72.59555816650390625;-90.9545135498046875
826000000;-73.315093994140625;-96.4274444580078125
828000000;-70.44928741455078125;-90.2485198974609375
830000000;-75.1136474609375;-96.40213775634765625
832000000;-72.7170257568359375;-112.08083343505859375
834000000;-71.7335968017578125;-98.48203277587890625
836000000;-71.8756866455078125;-95.29062652587890625
838000000;-72.19659423828125;-92.0269317626953125
840000000;-73.62570953369140625;-86.68717193603515625
842000000;-73.705474853515625;-94.809783935546875
844000000;-73.8637237548828125;-95.51715087890625
846000000;-71.83826446533203125;-97.9620513916015625
848000000;-71.95229339599609375;-87.8114471435546875
850000000;-74.08911895751953125;-89.06206512451171875
852000000;-72.96143341064453125;-98.83489990234375
854000000;-73.72582244873046875;-103.05278778076171875
856000000;-70.9489898681640625;-99.89759063720703125
858000000;-71.24398040771484375;-85.03076171875
860000000;-70.92359161376953125;-104.29470062255859375
862000000;-74.44293212890625;-94.41352081298828125
864000000;-69.502197265625;-94.13651275634765625
866000000;-75.23630523681640625;-95.916351318359375
868000000;-26.81940460205078125;-93.344482421875
870000000;-22.01937103271484375;-44.30765533447265625
872000000;-44.971302032470703125;-102.72164154052734375
874000000;-71.07293701171875;-96.39231109619140625
876000000;-71.902923583984375;-104.564727783203125
878000000;-74.86728668212890625;-88.8583984375
880000000;-75.27751922607421875;-88.6035003662109375
882000000;-70.664764404296875;-99.73413848876953125
884000000;-75.78099822998046875;-95.329559326171875
886000000;-73.9528350830078125;-105.148101806640625
888000000;-71.20394134521484375;-91.7079620361328125
890000000;-70.784423828125;-96.90462493896484375
892000000;-72.12470245361328125;-96.10916900634765625
894000000;-72.3102264404296875;-91.17218780517578125
896000000;-70.08539581298828125;-87.160125732421875
898000000;-76.25234222412109375;-105.9152984619140625
900000000;-69.96240997314453125;-98.5144805908203125
902000000;-71.32135009765625;-87.58209228515625
904000000;-72.07247161865234375;-83.00131988525390625
906000000;-71.57830047607421875;-100.8218994140625
908000000;-73.43831634521484375;-97.80828094482421875
910000000;-73.498626708984375;-116.0980377197265625
912000000;-69.6284637451171875;-91.84310150146484375
914000000;-70.8876495361328125;-106.437255859375
916000000;-68.94939422607421875;-88.16351318359375
918000000;-74.6427764892578125;-90.17482757568359375
920000000;-70.85654449462890625;-90.16701507568359375
922000000;-72.7552337646484375;-93.40756988525390625
924000000;-74.17673492431640625;-89.350494384765625
926000000;-73.79897308349609375;-102.857452392578125
928000000;-72.7422027587890625;-92.467987060546875
930000000;-73.8233184814453125;-92.85472869873046875
932000000;-74.5624847412109375;-90.4195404052734375
934000000;-74.5682830810546875;-94.95111846923828125
936000000;-72.61168670654296875;-106.1923828125
938000000;-73.59738922119140625;-92.911956787109375
940000000;-70.711395263671875;-95.95758056640625
942000000;-73.34075164794921875;-113.20189666748046875
944000000;-70.9031524658203125;-104.55023193359375
946000000;-77.3224639892578125;-101.5844268798828125
948000000;-72.1448211669921875;-87.70550537109375
950000000;-75.96566009521484375;-90.5601043701171875
952000000;-72.2223052978515625;-93.10760498046875
954000000;-73.12218475341796875;-98.08095550537109375
956000000;-73.06818389892578125;-92.84027099609375
958000000;-71.23128509521484375;-94.39307403564453125
960000000;-71.85292816162109375;-127
962000000;-69.60453033447265625;-103.49373626708984375
964000000;-71.068695068359375;-82.50058746337890625
966000000;-74.6258544921875;-95.354705810546875
968000000;-74.45157623291015625;-108.02265167236328125
970000000;-74.28125762939453125;-97.77618408203125
972000000;-71.815673828125;-92.24170684814453125
974000000;-71.68445587158203125;-91.09161376953125
976000000;-76.0710296630859375;-94.16976165771484375
978000000;-74.32061004638671875;-91.74330902099609375
980000000;-73.42975616455078125;-93.86125946044921875
982000000;-71.70246124267578125;-98.48126983642578125
984000000;-74.498687744140625;-108.1843109130859375
986000000;-73.773590087890625;-93.0678863525390625
988000000;-70.37305450439453125;-94.5939483642578125
990000000;-69.938201904296875;-100.00782012939453125
992000000;-70.5177459716796875;-97.3363189697265625
994000000;-68.4806365966796875;-97.983001708984375
996000000;-74.428375244140625;-102.21527862548828125
998000000;-71.7696380615234375;-115.1634063720703125
1000000000;-71.35227203369140625;-102.3319244384765625
1002000000;-73.4279327392578125;-89.97586822509765625
1004000000;-75.87348175048828125;-97.57422637939453125
1006000000;-71.63646697998046875;-94.7870330810546875
1008000000;-71.51076507568359375;-88.79657745361328125
1010000000;-70.076202392578125;-89.918975830078125
1012000000;-73.14035797119140625;-97.82382965087890625
1014000000;-74.84821319580078125;-101.89289093017578125
1016000000;-73.836578369140625;-110.285247802734375
1018000000;-71.13741302490234375;-86.39739227294921875
1020000000;-71.37245941162109375;-92.0316925048828125
1022000000;-71.15912628173828125;-99.18888092041015625
1024000000;-72.45294189453125;-90.62725067138671875
1026000000;-69.1628570556640625;-90.82611083984375
1028000000;-72.2737884521484375;-96.4169769287109375
1030000000;-73.33899688720703125;-87.232086181640625
1032000000;-74.171875;-99.247772216796875
1034000000;-74.80672454833984375;-96.29425811767578125
1036000000;-69.9275054931640625;-105.88153839111328125
1038000000;-70.27707672119140625;-95.62723541259765625
1040000000;-72.36722564697265625;-98.59801483154296875
