Type;FPL1026;
Version;1.90SP1;
Date;03.Jan 2024;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1016487360.000000;Hz
Freq Offset;0.000000;Hz
Start;75295360.000000;Hz
Stop;1957679360.000000;Hz
Span;1882384000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.003770;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
675775856;-75.72570037841796875;-88.01590728759765625
677658240;-71.40743255615234375;-98.87835693359375
679540624;-72.6317596435546875;-92.2149658203125
681423008;-72.594757080078125;-98.31136322021484375
683305392;-71.823699951171875;-87.55987548828125
685187776;-71.49294281005859375;-100.15546417236328125
687070160;-72.9305572509765625;-83.71448516845703125
688952544;-73.764801025390625;-88.05307769775390625
690834928;-75.31496429443359375;-90.74687957763671875
692717312;-70.66153717041015625;-108.3316192626953125
694599696;-73.1654510498046875;-109.9638519287109375
696482080;-68.80623626708984375;-89.9525604248046875
698364464;-69.75066375732421875;-87.46985626220703125
700246848;-69.70728302001953125;-92.62482452392578125
702129232;-74.91683197021484375;-103.98639678955078125
704011616;-70.78392791748046875;-106.47918701171875
705894000;-71.0583648681640625;-93.85726165771484375
707776384;-76.2435455322265625;-99.03392791748046875
709658768;-73.92916107177734375;-111.08807373046875
711541152;-77.7500152587890625;-103.00743865966796875
713423536;-76.0230865478515625;-105.39550018310546875
715305920;-72.82331085205078125;-97.547393798828125
717188304;-75.4214019775390625;-99.95899200439453125
719070688;-73.0565032958984375;-120.6801910400390625
720953072;-73.5109710693359375;-105.4918670654296875
722835456;-75.254302978515625;-90.45720672607421875
724717840;-73.83193206787109375;-85.82257843017578125
726600224;-76.3010711669921875;-97.42650604248046875
728482608;-72.75348663330078125;-96.91513824462890625
730364992;-71.17053985595703125;-106.90033721923828125
732247376;-72.7196807861328125;-103.13565826416015625
734129760;-71.48856353759765625;-88.34487152099609375
736012144;-74.177093505859375;-125.23363494873046875
737894528;-69.913970947265625;-101.68426513671875
739776912;-71.56620025634765625;-93.87410736083984375
741659296;-72.81929779052734375;-81.30103302001953125
743541680;-73.2021636962890625;-96.11620330810546875
745424064;-75.43358612060546875;-98.64626312255859375
747306448;-74.186767578125;-99.041168212890625
749188832;-70.68773651123046875;-95.6272735595703125
751071216;-71.99733734130859375;-99.4120941162109375
752953600;-74.7408599853515625;-110.35729217529296875
754835984;-73.36162567138671875;-100.2371978759765625
756718368;-72.4126434326171875;-96.73244476318359375
758600752;-72.27835845947265625;-105.6513824462890625
760483136;-68.16669464111328125;-97.05675506591796875
762365520;-66.66793060302734375;-86.2118682861328125
764247904;-61.985485076904296875;-81.92261505126953125
766130288;-62.323131561279296875;-80.4560394287109375
768012672;-63.6907958984375;-90.467132568359375
769895056;-73.996795654296875;-83.945831298828125
771777440;-72.47322845458984375;-93.157501220703125
773659824;-75.1959381103515625;-87.47818756103515625
775542208;-69.78528594970703125;-86.93090057373046875
777424592;-73.52675628662109375;-105.25930023193359375
779306976;-73.959228515625;-88.520416259765625
781189360;-72.381744384765625;-103.55487823486328125
783071744;-71.3751068115234375;-92.15428924560546875
784954128;-74.6878509521484375;-99.71533966064453125
786836512;-72.6202850341796875;-92.94396209716796875
788718896;-73.1865386962890625;-94.2615966796875
790601280;-73.751953125;-85.46318817138671875
792483664;-69.4781341552734375;-95.68027496337890625
794366048;-62.15746307373046875;-79.8779754638671875
796248432;-61.148227691650390625;-74.8917694091796875
798130816;-59.86704254150390625;-86.20672607421875
800013200;-71.0894622802734375;-106.85878753662109375
801895584;-66.1919708251953125;-80.04691314697265625
803777968;-69.4937591552734375;-78.904083251953125
805660352;-67.250274658203125;-84.3384246826171875
807542736;-59.15329742431640625;-74.31475830078125
809425120;-59.421138763427734375;-93.52530670166015625
811307504;-66.66400146484375;-80.75620269775390625
813189888;-68.96367645263671875;-84.8238983154296875
815072272;-72.09590911865234375;-100.55522918701171875
816954656;-69.82227325439453125;-103.5599365234375
818837040;-73.3654632568359375;-98.60253143310546875
820719424;-71.06725311279296875;-91.509552001953125
822601808;-74.95061492919921875;-95.56182861328125
824484192;-75.29898834228515625;-104.55391693115234375
826366576;-71.5661468505859375;-98.4433441162109375
828248960;-72.780853271484375;-95.16905975341796875
830131344;-72.18708038330078125;-88.702972412109375
832013728;-72.6270599365234375;-96.80574798583984375
833896112;-71.53929901123046875;-94.75345611572265625
835778496;-74.09603118896484375;-112.93213653564453125
837660880;-75.78012847900390625;-100.37066650390625
839543264;-73.7819366455078125;-90.7054595947265625
841425648;-74.85140228271484375;-105.355621337890625
843308032;-75.38796234130859375;-98.14929962158203125
845190416;-65.96291351318359375;-107.05924224853515625
847072800;-64.9669342041015625;-85.94879913330078125
848955184;-76.6785736083984375;-96.34624481201171875
850837568;-76.6338348388671875;-91.25608062744140625
852719952;-73.183685302734375;-97.23036956787109375
854602336;-71.06027984619140625;-105.28240966796875
856484720;-74.26874542236328125;-101.94506072998046875
858367104;-74.9986724853515625;-105.167572021484375
860249488;-71.51495361328125;-108.34668731689453125
862131872;-73.7271728515625;-103.7503204345703125
864014256;-74.30168914794921875;-88.9120025634765625
865896640;-75.224761962890625;-91.74217987060546875
867779024;-76.24666595458984375;-96.08585357666015625
869661408;-74.05127716064453125;-98.92884063720703125
871543792;-73.92498016357421875;-107.421295166015625
873426176;-77.18109893798828125;-89.08167266845703125
875308560;-76.57205963134765625;-90.09705352783203125
877190944;-74.09765625;-95.6546173095703125
879073328;-76.44333648681640625;-102.4774169921875
880955712;-72.81482696533203125;-87.6638641357421875
882838096;-65.99065399169921875;-88.25054168701171875
884720480;-58.708648681640625;-72.73169708251953125
886602864;-71.9629058837890625;-102.3380126953125
888485248;-68.30478668212890625;-91.9590911865234375
890367632;-74.63455963134765625;-94.58325958251953125
892250016;-71.47092437744140625;-85.09392547607421875
894132400;-72.9947662353515625;-105.34076690673828125
896014784;-73.58110809326171875;-115.2232208251953125
897897168;-70.56982421875;-115.9525146484375
899779552;-72.9676971435546875;-90.358123779296875
901661936;-72.3307342529296875;-92.607391357421875
903544320;-72.84955596923828125;-107.8726348876953125
905426704;-70.2369384765625;-104.51398468017578125
907309088;-74.86122894287109375;-120.1045989990234375
909191472;-73.78864288330078125;-105.2159271240234375
911073856;-73.992431640625;-113.86832427978515625
912956240;-73.67279815673828125;-86.331207275390625
914838624;-73.79445648193359375;-89.22021484375
916721008;-70.3316192626953125;-85.65230560302734375
918603392;-73.07678985595703125;-88.6379547119140625
920485776;-74.18927764892578125;-96.755584716796875
922368160;-51.89684295654296875;-74.86687469482421875
924250544;-53.174694061279296875;-107.31841278076171875
926132928;-70.3108673095703125;-94.48406219482421875
928015312;-63.010051727294921875;-85.670013427734375
929897696;-62.916423797607421875;-84.86759185791015625
931780080;-64.16812896728515625;-79.0002288818359375
933662464;-68.69507598876953125;-93.790435791015625
935544848;-72.89896392822265625;-99.75562286376953125
937427232;-71.47653961181640625;-92.10625457763671875
939309616;-72.373687744140625;-90.156707763671875
941192000;-72.09224700927734375;-92.369293212890625
943074384;-72.51116180419921875;-85.6891632080078125
944956768;-76.768096923828125;-99.36479949951171875
946839152;-71.90079498291015625;-89.26152801513671875
948721536;-72.44573974609375;-101.8582305908203125
950603920;-66.17075347900390625;-87.12718963623046875
952486304;-60.614566802978515625;-89.4413299560546875
954368688;-69.8175201416015625;-84.774993896484375
956251072;-66.3287353515625;-81.10445404052734375
958133456;-70.90108489990234375;-84.48681640625
960015840;-40.0540618896484375;-91.87358856201171875
961898224;-35.614013671875;-54.90258026123046875
963780608;-55.259548187255859375;-90.90283203125
965662992;-75.1522064208984375;-107.419769287109375
967545376;-74.8598480224609375;-104.96974945068359375
969427760;-75.3115386962890625;-100.17108917236328125
971310144;-73.14989471435546875;-109.1348114013671875
973192528;-73.44384002685546875;-109.18962860107421875
975074912;-74.14111328125;-99.08173370361328125
976957296;-71.59041595458984375;-99.0955810546875
978839680;-74.75409698486328125;-104.271514892578125
980722064;-74.11700439453125;-100.08063507080078125
982604448;-70.95513153076171875;-82.01113128662109375
984486832;-72.07917022705078125;-106.865509033203125
986369216;-73.859283447265625;-95.06655120849609375
988251600;-67.88625335693359375;-96.6123504638671875
990133984;-74.561676025390625;-85.1609649658203125
992016368;-77.33780670166015625;-99.1124420166015625
993898752;-73.23184967041015625;-87.22179412841796875
995781136;-74.0976409912109375;-84.910491943359375
997663520;-48.904239654541015625;-92.74556732177734375
999545904;-23.383451461791992188;-48.134990692138671875
1001428288;-25.769514083862304688;-77.329498291015625
1003310672;-72.63088226318359375;-88.9119720458984375
